marque,annee,prix,adresse,kilometrage,proprietaire
Honda,2010,450,"Guédiawaye,, Dakar",160,N/A
Honda,2007,1500000,"Parcelles Assainies,, Dakar",11000,N/A
SYM,2023,620000,"Rufisque,, Dakar",1200,N/A
Yamaha,2023,4300000,"VDN,, Dakar",1,N/A
Yamaha,2025,800000,"Sicap Baobab,, Dakar",250,N/A
Honda,2021,810000,"Cambérène,, Dakar",350,N/A
KTM,2025,220000,"VDN,, Dakar",6000,N/A
Yamaha,2025,950000,"Sicap Sacré Coeur,, Dakar",1,N/A
Yamaha,2017,1800000,"Saint-Louis,, Saint-Louis",39000,N/A
Haouju,2024,580000,"Médina,, Dakar",2777,N/A
Suzuki,2023,600000,"Mermoz Sacré-Coeur,, Dakar",200,N/A
Yamaha,2017,2150000,"Ouest Foire,, Dakar",50,N/A
Honda,1996,1200000,"Médina,, Dakar",63750,N/A
Honda,2018,3900000,"Plateau,, Dakar",12000,N/A
Honda,2003,1100000,"Almadies,, Dakar",20000,N/A
Honda,2018,1350000,"Point-E,, Dakar",32000,N/A
Yamaha,2006,300000,"Sicap Liberté,, Dakar",50000,N/A
Yamaha,2020,3900000,"Ouakam,, Dakar",14000,N/A
Yamaha,2020,1200000,"Yoff,, Dakar",10000,N/A
Honda,2014,1150000,"Grand-Dakar,, Dakar",55000,N/A
Piaggio,2012,490000,"Parcelles Assainies,, Dakar",1,N/A
Aprilia,2018,300000,"Grand-Dakar,, Dakar",150,N/A
BMW,2019,4900000,"Sicap Liberté,, Dakar",20000,N/A
BMW,2021,2500000,"Sicap Liberté,, Dakar",17000,N/A
Ducati,2024,7900000,"Sicap Liberté,, Dakar",500,N/A
BMW,2023,4900000,"Sicap Liberté,, Dakar",7000,N/A
BMW,2023,6900000,"Sicap Liberté,, Dakar",2000,N/A
BMW,2022,5500000,"Sicap Liberté,, Dakar",17000,N/A
BMW,2020,3500000,"Sicap Liberté,, Dakar",4000,N/A
Ducati,2017,2500000,"Sicap Liberté,, Dakar",13000,N/A
BMW,2023,4900000,"Sicap Liberté,, Dakar",9000,N/A
Honda,2023,3900000,"Sicap Liberté,, Dakar",14000,N/A
BMW,2023,5900000,"Sicap Liberté,, Dakar",3000,N/A
BMW,2020,5900000,"Sicap Liberté,, Dakar",20000,N/A
BMW,2020,5500000,"Sicap Liberté,, Dakar",17000,N/A
BMW,2023,5900000,"Sicap Liberté,, Dakar",500,N/A
BMW,2021,2500000,"Sicap Liberté,, Dakar",17000,N/A
BMW,2023,5900000,"Sicap Liberté,, Dakar",3000,N/A
Beverly,2016,1600000,"Hann Bel-Air,, Dakar",52917,N/A
Honda,2016,375000,"Sicap Liberté,, Dakar",15000,N/A
Honda,2023,1900000,"Plateau,, Dakar",14000,N/A
Honda,2019,650000,"Mbao,, Dakar",1,N/A
KTM,2021,350000,"Point-E,, Dakar",1000,N/A
KTM,2015,1400000,"Guédiawaye,, Dakar",1,N/A
Yamaha,2012,2350000,"VDN,, Dakar",101000,N/A
Yamaha,2012,2300000,"VDN,, Dakar",98000,N/A
Yamaha,2012,2350000,"VDN,, Dakar",98000,N/A
Piaggio,2020,320000,"Hann Maristes,, Dakar",2533,N/A
Peugeot,2022,350000,"Scat Urbam,, Dakar",1000,N/A
Kymco,2020,400000,"Sipres,, Dakar",390,N/A
Kymco,2017,450000,"Hann Bel-Air,, Dakar",25000,N/A
Piaggio,2011,400000,"Ouest Foire,, Dakar",250,N/A
Piaggio,2009,550000,"Kaolack,, Kaolack",51122,N/A
Kymco,2021,1800000,"Mamelles,, Dakar",20000,N/A
KTM,2013,1850000,"Thiaroye,, Dakar",21500,N/A
KTM,2023,350000,"Point-E,, Dakar",10000,N/A
Kymco,2021,380000,"Hann Maristes,, Dakar",56586,N/A
Kymco,2019,150,"Keur Massar,, Dakar",150,N/A
Triumph,2000,1600000,"Sicap Sacré Coeur,, Dakar",64000,N/A
Suzuki,1994,1200000,"Sicap Sacré Coeur,, Dakar",56500,N/A
BMW,2015,3500000,"Keur Massar,, Dakar",29590,N/A
Peugeot,2019,750000,"Biscuiterie,, Dakar",6000,N/A
Yamaha,2006,700000,"Sicap Liberté,, Dakar",78000,N/A
Suzuki,2021,1300000,"Nord Foire,, Dakar",63000,N/A
Kymco,2021,1900000,"Liberté 6 extension,, Dakar",5000,N/A
Honda,2018,3600000,"Plateau,, Dakar",11900,N/A
Yamaha,2019,2500000,"Golf,, Dakar",57000,N/A
Yamaha,2019,2400000,"Golf,, Dakar",1,N/A
Piaggio,2018,350000,"Plateau,, Dakar",15,N/A
Honda,2016,800000,"Cambérène,, Dakar",500,N/A
Yamaha,2012,1800000,"Pikine Nord,, Dakar",83000,N/A
Yamaha,2018,2500000,"Saint-Louis,, Saint-Louis",37000,N/A
Yamaha,2021,4500000,"Hann Maristes,, Dakar",23000,N/A
Suzuki,2022,350000,"Gueule-Tapée, Fass, Colobane,, Dakar",20000,N/A
Kymco,2017,175000,"Guédiawaye,, Dakar",150000,N/A
Kawasaki,2018,1500000,"Hann Maristes,, Dakar",1,N/A
Honda,2021,3500000,"Parcelles Assainies,, Dakar",9000,N/A
Piaggio,2018,14000000,"Guédiawaye,, Dakar",1,N/A
Yamaha,2020,600000,"Keur Massar,, Dakar",1,N/A
Yamaha,2020,1600000,"Mamelles,, Dakar",11000,N/A
Piaggio,2018,1500000,"Gueule-Tapée, Fass, Colobane,, Dakar",1,N/A
Yamaha,2008,1400000,"Guédiawaye,, Dakar",1,N/A
Yamaha,2018,1600000,"Liberté 6 extension,, Dakar",1,N/A
Piaggio,2010,330000,"Cité Keur gorgui,, Dakar",121000,N/A
Piaggio,2017,450000,"Guédiawaye,, Dakar",300,N/A
Honda,2012,550000,"Ouakam,, Dakar",98000,N/A
KTM,2021,4300000,"Hann Maristes,, Dakar",20000,N/A
Yamaha,2011,390000,"Mermoz Sacré-Coeur,, Dakar",28000,N/A
Yamaha,2021,700,"Mbacke,, Diourbel",5000,N/A
Beverly,2016,250000,"Yeumbeul Nord,, Dakar",23789,N/A
Yamaha,2016,1000000,"Sicap Dieuppeul,, Dakar",42000,N/A
Piaggio,2017,280000,"Ziguinchor,, Ziguinchor",250,N/A
Yamaha,2019,1200000,"Amitié,, Dakar",1,N/A
Honda,2015,480000,"Rufisque,, Dakar",1111,N/A
BMW,2015,3500000,"Cité Avion,, Dakar",29000,N/A
Honda,2016,700000,"Tivaouane Peulh,, Dakar",23027,N/A
Piaggio,2018,600000,"Grand-Yoff,, Dakar",1,N/A
Aprilia,2005,650000,"Patte d'oie,, Dakar",1500,N/A
Kymco,2010,650000,"Thiès,, Thiès",10000,N/A
Yamaha,2021,1730000,"Fann,, Dakar",1,N/A
Honda,2021,2200000,"Fann,, Dakar",4900,N/A
KTM,2022,2850000,"Fann,, Dakar",2000,N/A
Honda,2020,550000,"Mermoz Sacré-Coeur,, Dakar",167,N/A
Honda,2018,1100000,"Plateau,, Dakar",30000,N/A
Honda,2018,2000000,"Cité Keur gorgui,, Dakar",39000,N/A
Kawasaki,2021,2700000,"Almadies,, Dakar",1,N/A
Yamaha,2006,700000,"Zone Industrielle,, Dakar",1,N/A
Aprilia,2005,250000,"Mermoz Sacré-Coeur,, Dakar",1,N/A
Gilera,2021,350000,"Mermoz Sacré-Coeur,, Dakar",120,N/A
Piaggio,2020,300000,"Mermoz Sacré-Coeur,, Dakar",120,N/A
Piaggio,2018,1100000,"Almadies,, Dakar",30000,N/A
Honda,2022,1350000,"Fann,, Dakar",1700,N/A
Honda,2021,2200000,"Fann,, Dakar",4900,N/A
BMW,2022,4500000,"Fann,, Dakar",3000,N/A
Piaggio,2017,1000000,"Sicap Dieuppeul,, Dakar",7000,N/A
Piaggio,2016,550000,"Guédiawaye,, Dakar",1,N/A
Piaggio,2019,340000,"Plateau,, Dakar",3400,N/A
Piaggio,2020,500000,"Parcelles Assainies,, Dakar",1,N/A
Yamaha,2022,2200000,"Almadies,, Dakar",1,N/A
Beverly,2019,1650000,"Liberté 6,, Dakar",1,N/A
Honda,2019,750000,"Rufisque,, Dakar",1,N/A
Honda,2021,2500000,"Parcelles Assainies,, Dakar",16000,N/A
Honda,2021,3850000,"Parcelles Assainies,, Dakar",1,N/A
Yamaha,2022,2500000,"Parcelles Assainies,, Dakar",1,N/A
Yamaha,2021,1600000,"Liberté 6 extension,, Dakar",1,N/A
BMW,2022,8500000,"Sicap Dieuppeul,, Dakar",1,N/A
Yamaha,2021,1730000,"Fann,, Dakar",1,N/A
Yamaha,2020,2680000,"Fann,, Dakar",5000,N/A
KTM,2022,2850000,"Fann,, Dakar",2000,N/A
Kawasaki,2018,2290000,"Ouakam,, Dakar",27000,N/A
Suzuki,2000,350000,"Grand-Dakar,, Dakar",1,N/A
Piaggio,2017,220000,"Sicap Dieuppeul,, Dakar",1,N/A
Kymco,2017,350000,"Guédiawaye,, Dakar",1,N/A
Haouju,2019,250000,"Fann,, Dakar",1,N/A
Bajaj,2022,675000,"Hlm,, Dakar",1,N/A
BMW,2018,5750000,"Plateau,, Dakar",18,N/A
Yamaha,2017,5500000,"Parcelles Assainies,, Dakar",1,N/A
Piaggio,2016,250000,"Ouakam,, Dakar",1,N/A
Piaggio,2015,70000,"Bargny,, Dakar",5,N/A
Cagiva,2021,180000,"Malika,, Dakar",1,N/A
Suzuki,2019,2500000,"Plateau,, Dakar",24,N/A
Yamaha,2012,450000,"Hann Maristes,, Dakar",160,N/A
Yamaha,2015,700000,"Nord Foire,, Dakar",1,N/A
BMW,2020,6000000,"Plateau,, Dakar",20,N/A
Honda,2019,1300000,"Almadies,, Dakar",1,N/A
Honda,2012,380000,"Yoff,, Dakar",125,N/A
Honda,2019,625000,"Cambérène,, Dakar",1,N/A
Yamaha,2009,290000,"Mermoz Sacré-Coeur,, Dakar",50,N/A
Honda,2008,500000,"Malika,, Dakar",40000,N/A
Honda,2018,250000,"Mamelles,, Dakar",35000,N/A
Yamaha,2018,2500000,"Almadies,, Dakar",1,N/A
Honda,2021,2200000,"Parcelles Assainies,, Dakar",3700,N/A
Yamaha,2020,3000000,"Parcelles Assainies,, Dakar",6000,N/A
BMW,2021,3500000,"Mbour,, Thiès",11000,N/A
Honda,2020,320000,"Nord Foire,, Dakar",125,N/A
BMW,2017,3400000,"Cité Avion,, Dakar",27000,N/A
Yamaha,2017,950000,"Plateau,, Dakar",1,N/A
BMW,2019,2700000,"Hann Maristes,, Dakar",11101,N/A
Yamaha,2008,3380000,"Mbour,, Thiès",15000,N/A
Kymco,2007,375000,"Pikine Nord,, Dakar",1,N/A
Kymco,2022,475000,"Pikine Nord,, Dakar",1,N/A
Honda,1995,1400000,"Grand-Yoff,, Dakar",77160,N/A
Yamaha,2020,2500000,"Tivaouane Peulh,, Dakar",45000,N/A
Honda,2017,1500000,"VDN,, Dakar",1,N/A
Piaggio,2019,250000,"Hann Bel-Air,, Dakar",1,N/A
Honda,2000,450000,"Dieuppeul Derklé,, Dakar",47304,N/A
Honda,2006,300000,"Médina,, Dakar",1,N/A
KTM,2022,400000,"Dieuppeul Derklé,, Dakar",580,N/A
Honda,2020,3500000,"Plateau,, Dakar",19000,N/A
Honda,2010,600000,"Plateau,, Dakar",1,N/A
Yamaha,2016,2750000,"Hann Maristes,, Dakar",1,N/A
Piaggio,2020,1400000,"Liberté 6,, Dakar",1,N/A
Yamaha,2006,750000,"Nord Foire,, Dakar",49000,N/A
Yamaha,2020,1600000,"Liberté 6,, Dakar",1,N/A
Piaggio,2020,550000,"Mbao,, Dakar",1,N/A
Honda,2020,1700000,"Pikine Ouest,, Dakar",29150,N/A
Yamaha,2012,700000,"Thiès,, Thiès",1,N/A
BMW,2006,1850000,"Yoff,, Dakar",1,N/A
Yamaha,2019,1100000,"Liberté 6,, Dakar",1,N/A
Kawasaki,2019,1850000,"Almadies,, Dakar",1,N/A
Piaggio,2008,350000,"Mbour,, Thiès",1,N/A
Piaggio,2015,1200000,"Dieuppeul Derklé,, Dakar",32000,N/A
Vespa,2009,800000,"Patte d'oie,, Dakar",1,N/A
KTM,2008,550000,"Ouakam,, Dakar",8000,N/A
Honda,2019,3800000,"Yoff,, Dakar",1,N/A
Honda,2020,5500000,"Plateau,, Dakar",1,N/A
Piaggio,2008,350000,"Plateau,, Dakar",25000,N/A
Honda,2018,3250000,"Sicap Foire,, Dakar",1,N/A
Vespa,2017,325000,"Pikine Nord,, Dakar",1,N/A
BMW,2014,2700000,"Hann Bel-Air,, Dakar",68000,N/A
Yamaha,2016,1400000,"Ouakam,, Dakar",1,N/A
Honda,2019,3800000,"Yoff,, Dakar",1,N/A
Yamaha,2014,650000,"Fatick,, Fatick",32000,N/A
