marque,annee,prix,adresse,kilometrage,boite_de_vit,carburant,proprietaire
Citroen,2020,12500000,"Point-E,, Dakar",19700,Automatique,Essence,N/A
Ssangyong,2017,6500000,"Mbour,, Thiès",94000,Automatique,Diesel,N/A
Mercedes,2016,4800000,"Thiès,, Thiès",150000,Automatique,Diesel,N/A
Mazda,2018,7900000,"Hann Maristes,, Dakar",75000,Automatique,Essence,N/A
Hyundai,2014,6200000,"Hann Maristes,, Dakar",199000,Automatique,Essence,N/A
Jeep,2019,8500000,"Hann Maristes,, Dakar",95000,Automatique,Essence,N/A
Bmw,2021,30500000,"Nord Foire,, Dakar",65000,Automatique,Essence,N/A
Bmw,2015,6600000,"Mermoz Sacré-Coeur,, Dakar",150,Automatique,Diesel,N/A
Nissan,2014,2500000,"Hann Maristes,, Dakar",100000,Automatique,Essence,N/A
Range,2019,23000000,"Nord Foire,, Dakar",60000,Automatique,Essence,N/A
Mitsubishi,2020,11500000,"Nord Foire,, Dakar",53000,Automatique,Essence,N/A
Land,2019,27500000,"Nord Foire,, Dakar",87000,Automatique,Essence,N/A
Toyota,2014,5000000,"Sicap Foire,, Dakar",99000,Automatique,Essence,N/A
Peugeot,2018,6000000,"Gueoul,, Louga",88000,Manuelle,Diesel,N/A
Hyundai,2016,4000000,"Tomboronkoto,, Kedougou",177000,Manuelle,Essence,N/A
Kia,2015,4000000,"Dembancane,, Matam",231000,Manuelle,Diesel,N/A
Kia,2011,3000000,"Ronkh,, Saint-Louis",121000,Automatique,Essence,N/A
Hyundai,2018,13500000,"VDN,, Dakar",1,Automatique,Diesel,N/A
Toyota,2015,10000000,"Ngogom,, Diourbel",82000,Automatique,Essence,N/A
Peugeot,2017,6000000,"Sindian,, Ziguinchor",185000,Automatique,Diesel,N/A
Ford,2018,6000000,"Tankanto Escale,, Kolda",99000,Automatique,Essence,N/A
Peugeot,2018,6000000,"Toumboura,, Tambacounda",184000,Manuelle,Diesel,N/A
Bmw,2014,3000000,"Gueoul,, Louga",74000,Automatique,Essence,N/A
Peugeot,2015,6800000,"Cambérène,, Dakar",171900,Automatique,Diesel,N/A
Peugeot,2019,4000000,"Dembancane,, Matam",80000,Automatique,Diesel,N/A
Ford,2016,3000000,"Gueoul,, Louga",76000,Automatique,Essence,N/A
Ford,2013,1900000,"Amitié,, Dakar",200000,Automatique,Essence,N/A
Renault,2017,8500000,"Fann,, Dakar",87000,Automatique,Diesel,N/A
Kia,2019,6000000,"Ndiognick,, Kaffrine",20000,Automatique,Essence,N/A
Peugeot,2015,3000000,"Dahra,, Louga",221000,Manuelle,Diesel,N/A
Hyundai,2015,3000000,"Tankon,, Sédhiou",105000,Automatique,Essence,N/A
Peugeot,2015,3000000,"Khombole,, Thiès",180000,Manuelle,Diesel,N/A
Ford,2013,3000000,"Segre Gatta,, Kaffrine",120000,Automatique,Essence,N/A
Hyundai,2010,3000000,"Dembancane,, Matam",111000,Automatique,Essence,N/A
Ford,2016,3000000,"Tenghori,, Ziguinchor",76000,Automatique,Essence,N/A
Hyundai,2016,5000000,"Tomboronkoto,, Kedougou",87000,Automatique,Essence,N/A
Toyota,2009,3000000,"Thietty,, Kolda",58000,Automatique,Essence,N/A
Peugeot,2015,3000000,"Sare Bidji,, Kolda",78000,Manuelle,Diesel,N/A
Hyundai,2018,10500000,"Nord Foire,, Dakar",57000,Automatique,Essence,N/A
Bmw,2018,15500000,"Almadies,, Dakar",127000,Automatique,Essence,N/A
Peugeot,2017,7000000,"Médina Gounass,, Dakar",1,Manuelle,Diesel,N/A
Kia,2014,4750000,"Sud Foire,, Dakar",1,Automatique,Essence,N/A
Chevrolet,2014,3700000,"Cambérène,, Dakar",1,Automatique,Essence,N/A
Mazda,2016,6400000,"Dieuppeul Derklé,, Dakar",1,Automatique,Essence,N/A
Peugeot,2023,5000000,"Fass,, Kaolack",20000,Automatique,Essence,N/A
Honda,2012,4950000,"Fann,, Dakar",221094,Automatique,Essence,N/A
Ford,2014,3800000,"Yeumbeul Nord,, Dakar",155000,Automatique,Essence,N/A
Opel,2007,2100000,"Nord Foire,, Dakar",171107,Automatique,Essence,N/A
Lexus,2020,38000000,"Ouest Foire,, Dakar",55493,Automatique,Essence,N/A
Mercedes,2018,15000000,"Ouest Foire,, Dakar",66485,Automatique,Essence,N/A
Kia,2018,5500000,"Mbao,, Dakar",89220,Automatique,Essence,N/A
Maserati,2019,21000000,"Sicap Sacré Coeur,, Dakar",11000,Automatique,Diesel,N/A
Hyundai,2017,9000000,"Mermoz Sacré-Coeur,, Dakar",92000,Automatique,Essence,N/A
Hyundai,2014,3850000,"Médina,, Dakar",121745,Automatique,Essence,N/A
Kia,2016,3950000,"Médina,, Dakar",1,Automatique,Essence,N/A
Hyundai,2012,3200000,"Sicap Foire,, Dakar",1,Automatique,Essence,N/A
Bmw,2017,11500000,"Sicap Dieuppeul,, Dakar",117394,Automatique,Essence,N/A
Kia,2011,3200000,"Dieuppeul Derklé,, Dakar",1,Automatique,Essence,N/A
Hyundai,2015,6300000,"Cambérène,, Dakar",1,Automatique,Essence,N/A
Renault,2017,3500000,"Parcelles Assainies,, Dakar",120,Manuelle,Essence,N/A
Toyota,2017,300000,"Golf,, Dakar",1,Manuelle,Diesel,N/A
